languagecode,year_month,milestone,peak,count
aa,2007-11,5,highest_peak,8
aa,2004-06,1,not,1
aa,2004-12,1,not,1
aa,2005-01,1,not,1
aa,2005-03,1,not,1
aa,2005-07,1,not,1
aa,2005-08,1,not,3
aa,2005-10,1,not,1
aa,2005-12,1,not,1
aa,2006-01,1,not,2
aa,2006-02,1,not,1
aa,2006-03,1,not,1
aa,2006-05,1,not,1
aa,2006-07,1,not,1
aa,2006-08,1,not,2
aa,2006-09,1,not,2
aa,2006-10,1,not,1
aa,2006-11,1,not,2
aa,2006-12,1,not,2
aa,2007-01,1,not,4
aa,2007-02,1,not,1
aa,2007-03,5,not,5
aa,2007-04,1,not,3
aa,2007-05,1,not,1
aa,2007-06,1,not,3
aa,2007-07,1,not,3
aa,2007-08,5,not,7
aa,2007-09,1,not,3
aa,2007-10,1,not,2
aa,2007-12,1,not,3
aa,2008-01,1,not,3
aa,2008-02,1,not,4
aa,2008-03,5,not,5
aa,2008-04,5,not,5
aa,2008-05,1,not,4
aa,2008-06,1,not,1
aa,2008-07,1,not,3
aa,2009-08,1,not,1
aa,2014-12,1,not,1
aa,2015-01,1,not,1
aa,2015-02,1,not,1
aa,2015-10,1,not,1
ab,2020-02,10,highest_peak,17
ab,2005-01,1,not,1
ab,2005-04,1,not,1
ab,2005-05,1,not,1
ab,2005-06,1,not,1
ab,2005-07,1,not,2
ab,2005-08,1,not,1
ab,2005-09,1,not,2
ab,2005-11,1,not,1
ab,2005-12,1,not,3
ab,2006-01,1,not,3
ab,2006-02,1,not,2
ab,2006-04,1,not,2
ab,2006-05,1,not,1
ab,2006-06,1,not,1
ab,2006-07,1,not,3
ab,2006-08,1,not,3
ab,2006-09,1,not,1
ab,2006-10,1,not,1
ab,2006-11,1,not,1
ab,2006-12,1,not,2
ab,2007-01,1,not,2
ab,2007-02,1,not,2
ab,2007-03,1,not,4
ab,2007-04,1,not,2
ab,2007-05,1,not,1
ab,2007-06,1,not,4
ab,2007-07,1,not,1
ab,2007-08,5,not,5
ab,2007-09,1,not,1
ab,2007-10,1,not,2
ab,2007-11,1,not,1
ab,2007-12,1,not,1
ab,2008-01,5,not,6
ab,2008-02,1,not,2
ab,2008-04,1,not,2
ab,2008-05,1,not,1
ab,2008-06,1,not,1
ab,2008-07,5,not,6
ab,2008-08,5,not,6
ab,2008-09,5,not,6
ab,2008-10,5,not,7
ab,2008-11,5,not,7
ab,2008-12,5,not,5
ab,2009-01,5,not,5
ab,2009-02,5,not,8
ab,2009-03,5,not,5
ab,2009-04,1,not,4
ab,2009-05,1,not,3
ab,2009-06,1,not,4
ab,2009-07,1,not,3
ab,2009-08,1,not,4
ab,2009-09,1,not,3
ab,2009-10,1,not,4
ab,2009-11,1,not,4
ab,2009-12,5,not,7
ab,2010-01,1,not,3
ab,2010-02,5,not,5
ab,2010-03,10,not,11
ab,2010-04,10,not,11
ab,2010-05,5,not,5
ab,2010-06,10,not,11
ab,2010-07,10,not,11
ab,2010-08,5,not,9
ab,2010-09,10,not,10
ab,2010-10,5,not,9
ab,2010-11,5,not,7
ab,2010-12,5,not,6
ab,2011-01,5,not,7
ab,2011-02,5,not,5
ab,2011-03,1,not,4
ab,2011-04,5,not,6
ab,2011-05,5,not,7
ab,2011-06,5,not,7
ab,2011-07,5,not,9
ab,2011-08,5,not,7
ab,2011-09,5,not,7
ab,2011-10,5,not,7
ab,2011-11,5,not,5
ab,2011-12,1,not,3
ab,2012-01,5,not,7
ab,2012-02,5,not,8
ab,2012-03,5,not,6
ab,2012-04,1,not,1
ab,2012-05,10,not,11
ab,2012-06,5,not,9
ab,2012-07,1,not,3
ab,2012-08,1,not,4
ab,2012-09,5,not,7
ab,2012-10,5,not,5
ab,2012-11,1,not,2
ab,2012-12,1,not,3
